Date,Price
21-Aug-14,515.9
20-Aug-14,517
19-Aug-14,490.3
18-Aug-14,478.2
17-Aug-14,501.3
16-Aug-14,527.2
15-Aug-14,506.2
14-Aug-14,510
13-Aug-14,549
12-Aug-14,566
11-Aug-14,572.5
10-Aug-14,580
9-Aug-14,583.3
8-Aug-14,586.4
7-Aug-14,582.3
6-Aug-14,577.5
5-Aug-14,575
4-Aug-14,581.1
3-Aug-14,582.1
2-Aug-14,587.8
1-Aug-14,594.9
31-Jul-14,579
30-Jul-14,551
29-Jul-14,575
28-Jul-14,586.4
27-Jul-14,590.5
26-Jul-14,594
25-Jul-14,598
24-Jul-14,600.3
23-Jul-14,617.2
22-Jul-14,612.6
21-Jul-14,619.8
20-Jul-14,618.9
19-Jul-14,625.3
18-Jul-14,627.5
17-Jul-14,627.6
16-Jul-14,621
15-Jul-14,620.9
14-Jul-14,622.4
13-Jul-14,624
12-Jul-14,626
11-Jul-14,625.5
10-Jul-14,610
9-Jul-14,620.2
8-Jul-14,618.5
7-Jul-14,624
6-Jul-14,633.3
5-Jul-14,630
4-Jul-14,632.2
3-Jul-14,643.6
2-Jul-14,647.9
1-Jul-14,650.8
30-Jun-14,640
29-Jun-14,603.7
28-Jun-14,600.1
27-Jun-14,606.2
26-Jun-14,577.9
25-Jun-14,568.1
24-Jun-14,587.3
23-Jun-14,599.3
22-Jun-14,607.8
21-Jun-14,601.6
20-Jun-14,601
19-Jun-14,602
18-Jun-14,611.5
17-Jun-14,614.3
16-Jun-14,580
15-Jun-14,571
14-Jun-14,554.4
13-Jun-14,582.6
12-Jun-14,590
11-Jun-14,637.1
10-Jun-14,653.6
9-Jun-14,653.7
8-Jun-14,662.3
7-Jun-14,663
6-Jun-14,655
5-Jun-14,663.3
4-Jun-14,652.3
3-Jun-14,682.9
2-Jun-14,669.5
1-Jun-14,646.5
31-May-14,635.6
30-May-14,629
29-May-14,573
28-May-14,577
27-May-14,570
26-May-14,575
25-May-14,566.2
24-May-14,502.3
23-May-14,509.5
22-May-14,502.3
21-May-14,477.6
20-May-14,476
19-May-14,439
18-May-14,438.8
17-May-14,442
16-May-14,442.3
15-May-14,442
14-May-14,444
13-May-14,437.3
12-May-14,440
11-May-14,432
10-May-14,451.1
9-May-14,446
8-May-14,442.8
7-May-14,438
6-May-14,430
5-May-14,427
4-May-14,430.9
3-May-14,440.5
2-May-14,453.5
1-May-14,459
30-Apr-14,448.3
29-Apr-14,434
28-Apr-14,448
27-Apr-14,441.5
26-Apr-14,459
25-Apr-14,460
24-Apr-14,497.5
23-Apr-14,490.2
22-Apr-14,488
21-Apr-14,497
20-Apr-14,512.5
19-Apr-14,505
18-Apr-14,490.5
17-Apr-14,500.7
16-Apr-14,522.3
15-Apr-14,515
14-Apr-14,459
13-Apr-14,404.2
12-Apr-14,415
11-Apr-14,416.3
10-Apr-14,370
9-Apr-14,442.5
8-Apr-14,448.8
7-Apr-14,454.2
6-Apr-14,453.7
5-Apr-14,460.8
4-Apr-14,450
3-Apr-14,448.8
2-Apr-14,443.3
1-Apr-14,482.8
31-Mar-14,452
30-Mar-14,464.1
